angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.05,,"[95, 121, 239, 290]",,0.0,,0.04,,0.0,,0.83,,0.07,,0.0,
0.04,,"[95, 121, 239, 290]",,0.0,,0.04,,0.0,,0.88,,0.04,,0.0,
0.07,,"[98, 122, 238, 288]",,0.0,,0.09,,0.0,,0.77,,0.06,,0.01,
0.05,,"[96, 119, 240, 295]",,0.0,,0.05,,0.0,,0.84,,0.05,,0.0,
0.05,,"[97, 119, 239, 296]",,0.0,,0.04,,0.0,,0.87,,0.03,,0.0,
0.06,,"[99, 121, 237, 292]",,0.0,,0.04,,0.0,,0.86,,0.04,,0.0,
0.03,,"[100, 127, 235, 283]",,0.0,,0.04,,0.0,,0.9,,0.03,,0.0,
0.02,0.44,"[100, 125, 235, 285]","[254, 569, 21, 27]",0.0,0.0,0.03,0.17,0.0,0.02,0.93,0.06,0.02,0.29,0.0,0.01
0.02,,"[100, 124, 236, 285]",,0.0,,0.03,,0.0,,0.92,,0.03,,0.0,
0.01,,"[101, 123, 235, 286]",,0.0,,0.03,,0.0,,0.94,,0.02,,0.0,
0.01,,"[100, 122, 236, 287]",,0.0,,0.02,,0.0,,0.95,,0.02,,0.0,
0.01,,"[101, 122, 235, 287]",,0.0,,0.02,,0.0,,0.95,,0.02,,0.0,
0.0,,"[100, 124, 234, 285]",,0.0,,0.02,,0.0,,0.95,,0.02,,0.0,
0.01,,"[100, 125, 234, 284]",,0.0,,0.02,,0.0,,0.95,,0.02,,0.0,
0.01,,"[101, 128, 233, 280]",,0.0,,0.02,,0.0,,0.95,,0.02,,0.0,
0.01,,"[102, 129, 231, 280]",,0.0,,0.02,,0.0,,0.96,,0.02,,0.0,
0.0,,"[99, 124, 235, 288]",,0.0,,0.01,,0.0,,0.97,,0.01,,0.0,
0.01,,"[97, 122, 236, 291]",,0.0,,0.02,,0.0,,0.95,,0.02,,0.0,
0.0,,"[100, 125, 234, 287]",,0.0,,0.01,,0.0,,0.97,,0.02,,0.0,
0.01,,"[96, 126, 235, 287]",,0.0,,0.01,,0.0,,0.97,,0.02,,0.0,
